section,command,description,parameters,examples,format
,ATI,获取模组厂商信息,manufacturer: 模组厂商信息、产品名称、版本号; module_version: 模组型号; soft_version: 模组软件版本,ATI; 查询厂商信息; +CGMI: Neoway; OK,
,AT+GMR,查询版本信息,re version: 模组软件版本信息,AT+GMR; +GMR:N706-R004-STD-B2-003; OK,
,AT+CSQ,获取信号强度,signal: 信号强度; ber: 误码率,"AT+CSQ; +CSQ:19,2; OK",
,AT+CREG,查询网络注册状态,n: 网络注册主动提供结果代码设置; stat: 网络注册状态,"AT+CREG?; +CREG: 0,1; OK",
,AT+CEREG,获取EPS网络注册状态,,,
,AT+COPS,网络选择,,,
,AT+CIMI,查询国际移动用户识别码,,,
,AT+CGSN,获取通信模组IMEI号,,,
,AT+GSN,获取通信模组IMEI号,,,
,AT+CCID,获取SIM卡标识,,,
,AT+CGMM,查询模组型号,,,
,AT+GMM,查询模组型号,,,
,AT+IPR,设置模组波特率,,,
,AT+CFUN,设置模组功能,,,
,AT+CMUX,串口多路复用指令,,,
,AT+CCLK,时钟管理,,,
,AT+CPIN,输入PIN码,,,
,AT+CLCK,PIN使能与查询功能指令,,,
,AT+CPWD,修改密码指令,,,
,AT+CGDCONT,设置PDP格式,,,
,AT+XGAUTH,用户认证,,,
,AT+CGATT,设置GPRS附着和分离,,ATE1/ATE0：打开&关闭回显; 打开（或关闭）模组AT指令回显功能。; 该模组默认回显功能为打开状态。; 该指令设置后掉电不保存。; ATD*99#：GPRS; 使用外部协议栈，进行GPRS拨号连接。; 进行拨号之前一定要确保CREG已经注册成功，并且设置了APN。,
,AT+CESQ,扩展信号强度,,,
,AT+NWDNS,域名解析,,,
,AT+NWENPWRSAVE,休眠（Sleep）设置,,,
,AT+NWPWROFF,模组关机指令,,,
,AT+NWRFTEST,模组强发强收指令（仅可用于测试）,,,
,AT+NSTGETRSSI,获取强收模式下模组的接收功率（仅可用于测试）,,短消息服务指令,
,AT+CSMS,选择短信服务,,,
,AT+CPMS,首选短信存储器,,,
,AT+CMGF,设置短消息模式,,,
,AT+CSCS,设置TE字符集,,,
,AT+CNMI,设置短信指示格式,,,
,AT+CMGR,读短消息,,,
,AT+CMGL,短信列表,,,
,AT+CMGS,发送短消息,,,
,AT+CMGW,写短消息,,,
,AT+CMSS,发送已保存的短消息,,,
,AT+CMGD,删除短消息,,,
,AT+CSCA,短信中心号码,,,
,AT+CSMP,设置文本模式参数,,,
,AT+CSDH,显示文本模式参数,,,
