section,command,description,parameters,examples,format
,ATI,获取模组厂商信息,manufacturer: 模组厂商信息、产品名称、版本号; module_version: 模组型号; soft_version: 模组软件版本,AT+GMR–查询版本信息; 查询软件版本信息。,参数
,AT+GMR,查询版本信息,re version: 模组软件版本信息,AT+CSQ–获取信号强度; 查询接收信号强度<rssi>。,参数
,AT+CSQ,获取信号强度,signal: 信号强度; ber: 误码率,AT+CREG–查询网络注册状态; 查询模组的当前网络注册状态。,参数
,AT+CREG,查询网络注册状态,,AT+CEREG–获取EPS网络注册状态; 查询EPS网络注册状态。,参数
,AT+CEREG,获取EPS网络注册状态,,AT+COPS–网络选择; 查询网络。,参数
,AT+COPS,网络选择,,AT+CIMI–查询国际移动用户识别码; 获取国际移动用户识别码IMSI（international mobile subscriber identification）。,参数
,AT+CIMI,查询国际移动用户识别码,,AT+CGSN–获取通信模组IMEI号; 获取模组的产品序列号，也就是IMEI号（International Mobile Equipment Identity）。,参数
,AT+CGSN,获取通信模组IMEI号,,AT+GSN–获取通信模组IMEI号; 获取模组的产品序列号，也就是IMEI号（International Mobile Equipment Identity）。,参数
,AT+GSN,获取通信模组IMEI号,,AT+CCID–获取SIM卡标识; 获取SIM卡的ICCID。,参数
,AT+CCID,获取SIM卡标识,,AT+CGMM–查询模组型号; 查询模组型号。,参数
,AT+CGMM,查询模组型号,,AT+GMM–查询模组型号; 查询模组型号。,参数
,AT+GMM,查询模组型号,,AT+IPR–设置模组波特率; 设置模组波特率，默认掉电保存。; 若波特率查询返回为0，表示模组波特率自适应。默认为波特率自适应（备注：自适应波特率不超过115200）。,参数
,AT+IPR,设置模组波特率,,AT+CFUN–设置模组功能; 通过设置<fun>来选择模组的功能。<fun>只支持某些值。; 设置该参数后，掉电不保存。,参数
,AT+CFUN,设置模组功能,,AT+CMUX–串口多路复用指令; 启用通信模组串口多路复用功能。; 基于一个物理通信串口，通过规范协议虚拟出两个甚至多个串口，一般虚拟三个串口，一个串口进行外部协议栈拨号上网，另外两个收发AT指令。建议使用AT+CMUX=0启用串口多路复用功能。; 建议使用AT+CMUX=0启用串口多路复用功能。,参数
,AT+CMUX,串口多路复用指令,,AT+CCLK–时钟管理; 设置和查询模组的实时时钟。; 设置的时间立即生效，掉电保存；默认时钟为0时区，使用1/4时区。,参数
,AT+CCLK,时钟管理,,"AT+CPIN–输入PIN码; 查询PIN状态以及输入PIN码。; 若要输入PIN码，需锁定当前SIM卡（AT+CLCK=""SC"",1,""1234""）后，重启模组才能输入PIN码；输入三次错误的PIN码后，会要求输入PUK码才能解锁。",参数
,AT+CPIN,输入PIN码,,AT+CLCK–PIN使能与查询功能指令; 锁、解锁以及查询MT和网络设备。设置该参数，重启模组后生效。,参数
,AT+CLCK,PIN使能与查询功能指令,,"AT+CPWD–修改密码指令; 修改模组锁功能的密码。; 若需修改PIN码，需锁定SIM卡（AT+CLCK=""SC"",1,""1234""）后才能修改。",参数
